Temp Sensor 1,Temp Sensor 2,Light Percentage,Soil Moisture 1,Soil Moisture 2,Humidity,Timestamp
20.4,19.7,57.1,52.8,46.3,39.7,1717256725364
20.4,19.7,56.7,53,46.3,39.5,1717256735985
20.4,19.7,56.8,52.8,46.3,39.5,1717256746665
20.4,19.7,56.8,53,46.3,39.4,1717256757286
20.4,19.7,56.6,53.1,46.4,39.4,1717256767906
20.4,19.7,56.6,53.1,46.4,39.3,1717256778526
20.4,19.7,56.7,53.1,46.4,39.3,1717256789208
20.4,19.7,56.6,53,46.4,39.4,1717256799827
20.4,19.7,56.5,53.1,46.3,39.3,1717256810446
20.4,19.7,56.3,53.2,46.4,39.3,1717256821066
20.4,19.7,56.7,52.9,46.3,39.4,1717256831747
20.4,19.7,56.7,52.8,46.3,39.4,1717256842367
20.4,19.7,56.6,53.1,46.4,39.3,1717256852987
20.4,19.7,56.6,53,46.4,39.3,1717256863607
20.4,19.7,56.5,53,46.4,39.3,1717256874288
20.4,19.7,56.7,53.1,46.4,39.2,1717256884907
20.4,19.7,56.6,53.1,46.5,39.2,1717256895527
20.4,19.7,56.7,53,46.5,39.2,1717256906147
20.4,19.7,56.7,52.9,46.3,39.1,1717256916828
20.4,19.7,56.5,53.3,46.5,39.1,1717256927448
20.4,19.7,56.6,53,46.4,39.1,1717256938069
20.4,19.7,56.7,52.8,46.4,39.1,1717256948584
20.4,19.7,56.6,53.2,46.3,39.1,1717256959369
20.4,19.7,56.7,53,46.3,39.1,1717256969988
20.4,19.7,56.7,52.7,46.5,39.1,1717256980610
20.4,19.7,56.9,53.1,46.4,39.2,1717256991289
20.4,19.7,56.8,52.9,46.5,39.2,1717257001909
20.4,19.6,56.9,53,46.4,39.2,1717257012530
20.4,19.6,57,52.9,46.5,39.1,1717257023149
20.4,19.7,57,53.1,46.4,39.1,1717257033770
20.4,19.7,57.2,52.8,46.5,39.1,1717257044450
20.4,19.6,57.2,53,46.4,39.1,1717257055071
20.4,19.6,57.1,53.2,46.4,39.1,1717257065688
20.4,19.6,57.2,52.8,46.5,39,1717257076310
20.4,19.6,57.3,52.8,46.4,39.1,1717257086990
20.4,19.7,57.3,57.7,46.9,39.2,1717257097612
20.4,19.7,57.1,58.8,46.5,39.3,1717257108231
20.6,19.7,57.5,64.1,47.7,39.4,1717257118852
24.6,19.7,57.6,67,76.4,39.5,1717257129530
26.5,19.7,57.4,68.3,76.2,39.5,1717257140151
27.4,19.7,57.4,68.4,76.6,39.5,1717257150772
27.9,19.7,57.4,67.5,74.2,39.5,1717257161392
27.9,19.7,57.4,66.5,73.4,39.5,1717257172011
27.8,19.7,57.5,66.2,72.8,39.3,1717257182691
27.8,19.7,57.5,66.1,72.4,39.3,1717257193312
27.6,19.7,57.4,65.9,72.1,39.2,1717257203931
27.6,19.7,57.4,65.4,71.9,39.2,1717257214552
27.4,19.7,57.4,65.7,71.7,39.2,1717257225232
27.4,19.7,57.5,65.6,71.6,39.2,1717257235852
27.3,19.7,57.5,65.4,71.5,39.2,1717257246472
27.2,19.7,57.7,65.4,71.5,39.1,1717257257093
27.1,19.7,57.4,65.4,71.3,39,1717257267774
27,19.7,57.5,65.3,71.2,39.1,1717257278393
26.9,19.7,57.5,65.1,71,39.1,1717257289013
